model,selection,param_clf__max_depth,param_clf__max_features,param_clf__min_samples_leaf,mean_test_pr_auc,std_test_pr_auc,rank_test_pr_auc,mean_test_roc_auc,std_test_roc_auc,mean_fit_time
random_forest,decided,18,0.5,15,0.7986401868814296,0.011975141284973559,15,0.8639149093034876,0.011957545062794579,1.8190245628356934
random_forest,decided,24,0.5,23,0.7971983236550504,0.013040044048188267,16,0.8631436935517621,0.012420721333530772,1.6424866676330567
random_forest,decided,8,0.5,23,0.7969428489146314,0.01282861050277314,17,0.8627149804563654,0.012555020263192924,1.6309582233428954
random_forest,decided,4,0.5,12,0.7966233803393369,0.01295645689744243,18,0.8629252364428357,0.012416449010294674,1.3779376983642577
random_forest,decided,19,0.5,24,0.7966176541326866,0.01326985362340226,19,0.8627258692561991,0.012861156149315153,1.714513349533081
random_forest,decided,14,sqrt,22,0.7957236999781252,0.014384416035763951,20,0.8670196500613626,0.011711375811126709,1.1326056957244872
random_forest,decided,10,log2,20,0.7956245761828749,0.012794391232917559,21,0.8669786504242655,0.010786540516229568,1.1468963146209716
random_forest,decided,14,0.5,25,0.7955335204545937,0.013731538486123537,22,0.8625935127400538,0.013033442593057812,1.6507649898529053
random_forest,decided,24,log2,21,0.7952146971105826,0.01303839827451021,23,0.8667010059248639,0.010845301304759863,1.1722052574157715
random_forest,decided,10,sqrt,25,0.7943542790488696,0.014493549354489607,24,0.8659147680531796,0.011387545179395388,1.216298770904541
random_forest,decided,11,log2,24,0.7941873465371486,0.012668450511641149,25,0.8660043091628923,0.010448639992808286,1.1560941219329834
random_forest,decided,15,log2,23,0.7940966857316464,0.013021394836387598,26,0.8662983693471826,0.010474478079258904,1.1485719203948974
random_forest,decided,6,0.5,34,0.7932664401896494,0.015119374909533388,27,0.8613195606090269,0.01252310482725393,1.5187965393066407
random_forest,decided,16,log2,25,0.7928765692070827,0.012694380560886998,28,0.8653750031733743,0.010352091168801193,1.1745376110076904
random_forest,decided,24,log2,25,0.7928192429870073,0.012736733471212729,29,0.8653493751960596,0.010382908571681592,1.1016184329986571
random_forest,decided,15,sqrt,28,0.7925202312658912,0.014290438048205012,30,0.864931892607307,0.011360261965165598,1.1780070781707763
random_forest,decided,16,sqrt,30,0.7915835384641353,0.014802506657920024,31,0.8643973247640577,0.011366120538528899,1.2403838634490967
random_forest,decided,5,sqrt,34,0.7914958411856322,0.012072558267384912,32,0.8628081786792009,0.011210840296208157,1.0745430946350099
random_forest,decided,13,log2,30,0.7908899537116376,0.012775061545361257,33,0.8641701346409857,0.010787241378072809,1.1104549884796142
random_forest,decided,6,sqrt,36,0.7904796814381934,0.013161802426461667,34,0.8626628553302271,0.011325392304615033,1.1444536209106446
random_forest,decided,24,sqrt,40,0.7899050341013718,0.013653135277179327,35,0.8626396779310209,0.011254889238944155,1.157884454727173
random_forest,decided,11,log2,34,0.7891781416852331,0.013218894401168973,36,0.8632803870463635,0.010922027680593551,1.11773681640625
random_forest,decided,21,log2,35,0.7890377440311613,0.013154575960319022,37,0.8630382042942906,0.010877950741329545,1.1128551006317138
random_forest,decided,8,log2,40,0.7882186358583408,0.012673666838968901,38,0.8624555052743089,0.010935430369422586,1.1130090236663819
random_forest,decided,13,log2,37,0.7879724344243696,0.012651625873583988,39,0.8625195390903352,0.010403988526637712,1.1632516860961915
random_forest,decided,15,log2,39,0.7875235216054786,0.012784198022064827,40,0.8622770834548454,0.01070321566290937,1.0746386051177979
